연도,시도명,시군구명,축제명,개최기간,주최/주관,최초개최년도,예산합계,국비,지방비,기타,축제종류,조직형태,방문객수합계,내국인,외국인,개최장소,개최방식
2023,경기도,광명시,제15회 광명농악대축제,10월 중,광명농악보존회,2007,70,0,70.0,0.0,문화예술,무형문화재 보유단체,3.0,3.0,0.0,미정,대면
2023,경기도,김포시,2023 김포 아라마린 페스티벌,5월 중,,2017,350,0,250.0,100.0,문화예술,,0.0,0.0,0.0,김포 아라마리나,혼합형
2023,경기도,김포시,월곶 저잣거리 축제,9월 중,,2019,50,0,50.0,0.0,전통역사,,0.0,0.0,0.0,김포 월곶면 군하리,혼합형
2023,경기도,김포시,김포 도심축제,11월 중,,2020,50,0,50.0,0.0,문화예술,,50.0,50.0,0.0,금빛수로,혼합형
2023,경기도,군포시,군포철쭉축제,4월 28~30(예정),군포문화재단,2011,450,0,450.0,0.0,생태자연,재단법인,0.0,0.0,0.0,"군포철쭉공원, 초막골생태공원 등",대면
2023,경기도,이천시,이천체험문화축제,5.20.~5.21.,이천나드리,2014년,75,0,75.0,0.0,기타(주민화합),사단법인,83.0,83.0,0.0,미정,대면
2023,경기도,이천시,제23회 이천쌀문화축제,10.18~10.22,이천쌀문화축제추진위원회,1999년,1428,0,1428.0,0.0,"문화예술, 체험, 전통역사, 특산물, 
기타(주민화합 등)",비영리법인,0.0,0.0,0.0,이천농업테마공원,대면
2023,경기도,이천시,제37회 이천도자기축제,4.26~5.7,이천도자기축제추진위원회,1987년,924,0,924.0,0.0,"문화예술, 전통역사, 특산물(품)",위원회,0.0,0.0,0.0,예스파크,대면
2023,경기도,이천시,제8회 이천인삼축제,11.3~11.5,인삼축제 추진위원회,2015년,150,0,150.0,0.0,특산물,위원회,0.0,0.0,0.0,이천인삼판매센터,대면
2023,경기도,이천시,제13회 이천시 평생학습축제,5~6월중,평생학습실무추진위원회,2005년,228,0,228.0,0.0,기타,민간,10.0,10.0,0.0,설봉공원예정,대면
2023,경기도,이천시,제26회 햇사레장호원복숭아축제,9.22~24.,햇사레장호원복숭아축제 추진위원회,1997년,290,0,290.0,0.0,특산물,위원회,5.0,5.0,0.0,햇사레농산물산지유통센터,대면
2023,경기도,이천시,이천백사산수유꽃축제,3월말~4월초,이천백사산수유꽃축제추진위원회,2000년,200,0,200.0,0.0,생태자연,위원회,3.0,3.0,0.0,산수유마을,대면
2023,경기도,이천시,설봉산 별빛축제,미정,이천예총,2004년,455,0,455.0,0.0,문화예술,사단법인,14.0,14.0,0.0,설봉공원,대면
2023,경기도,양주시,양주 천일홍 축제,9월~10월 초(2일간),문화관광과,2017,450,0,450.0,0.0,생태자연,시 직영,100.0,100.0,0.0,양주나리농원 일원,대면
2023,경기도,양주시,양주 회암사지 왕실축제,5월중(2일),문화관광과,2017,400,0,400.0,0.0,전통역사,시 직영,63.0,63.0,0.0,회암사지 일원,혼합형
2023,경기도,양주시,양주문화재야행,2023. 9월 중(3일 간),문화관광과,2020,330,132,198.0,0.0,전통역사,시 직영,65.0,65.0,0.0,양주관아지 일원,대면
2023,경기도,오산시,제14회 오산 독산성문화제,10.21. ~ 10.22.,오산문화재단,2010,200,0,200.0,0.0,전통역사,재단법인,5.0,5.0,0.0,고인돌공원 및 독산성 세마대지 일원,대면
2023,경기도,오산시,야맥축제,"5월, 10월",오산오색시장문화관광형시장 육성사업단,2016,100,50,50.0,0.0,주민화합,사업단,100.2,100.0,0.2,오색시장,대면
2023,경기도,구리시,구리시 빛축제,11월 중(20일간),,2023,290,0,290.0,0.0,문화예술,,18.0,18.0,0.0,주요 시가지,대면
2023,경기도,구리시,구리 유채꽃 한강예술제,5월 중(2일),,2023,0,0,0.0,0.0,문화예술,,0.0,0.0,0.0,한강시민공원,대면
2023,경기도,구리시,구리 코스모스 한강예술제,10월 중(3일),,2023,0,0,0.0,0.0,문화예술,,31.0,31.0,0.0,한강시민공원,대면
